Por que português consome mais tokens que inglês no mesmo tokenizer?	O BPE aprende fusões do corpus de treino (majoritariamente inglês); caracteres acentuados ocupam 2 bytes UTF-8 e não foram fundidos. Medido: 1,7× mais tokens no Qwen2.5, 2,3× no GPT-2.	modulo01 tokenizacao
Qual a diferença entre logit e probabilidade?	Logit é a nota bruta da última camada (qualquer real, sem escala); probabilidade é o logit após o softmax (0–1, soma 1). Temperatura atua nos logits, ANTES do softmax.	modulo01 fundamentos
Por que top-p substituiu top-k como padrão?	O núcleo do top-p se ADAPTA à confiança do modelo: 1 token onde ele está certo, centenas onde está incerto. Top-k é fixo — arrasta candidatos absurdos onde o modelo está confiante.	modulo01 decodificacao
O que a perplexidade mede, e quando ela NÃO é comparável?	O número efetivo de opções entre as quais o modelo hesita por token (exp da loss). Não comparável entre tokenizers diferentes (tokens diferentes = unidades diferentes) nem entre corpora diferentes.	modulo01 avaliacao
Qual é o shift correto entre logits e labels, e o sintoma de errá-lo?	Logits da posição t predizem o token t+1: logits[:-1] contra ids[1:]. Errado, o treino RODA sem erro e a loss estaciona perto de ln(V) — modelo inútil, sem mensagem de erro.	modulo01 treino
Qual a loss esperada de um modelo NÃO treinado, e para que serve saber isso?	ln(tamanho do vocabulário) — ex.: ln(2048)=7,63; ln(128k)=11,76. É o teste de sanidade do primeiro batch: começar muito acima indica labels desalinhadas; estacionar nesse valor indica pipeline quebrado.	modulo01 treino sanidade
Prefill vs decode: qual é o gargalo de cada um?	Prefill (ler o prompt): compute, O(n²), paraleliza bem. Decode (gerar): BANDA DE MEMÓRIA — cada token exige ler todos os pesos. Por isso quantização acelera decode: menos bytes para ler.	modulo01 inferencia
Quanto KV cache o Llama-3-8B usa por token, e que arquitetura reduz isso?	~128 KB/token (2 × 32 camadas × 8 KV heads × 128 dim × 2 bytes). GQA: 8 KV heads em vez de 32 = 4× menos. Sem GQA seriam 512 KB/token.	modulo01 kvcache
Quanta memória custa full fine-tune com AdamW por parâmetro? Decomponha.	16 bytes/param: pesos bf16 (2) + gradientes bf16 (2) + master weights fp32 (4) + Adam m (4) + Adam v (4). Um 7B = 112 GB só de estados.	modulo01 modulo03 memoria
Por que um prompt não deve terminar com espaço?	No BPE byte-level, o espaço pertence ao token SEGUINTE (" Paris" é um token). Prompt terminado em espaço força o modelo a continuar de um estado raro no treino — fora da distribuição.	modulo01 tokenizacao armadilha
Quais os papéis de Q, K e V na atenção?	Query: o que esta posição procura. Key: como esta posição é encontrada. Value: o que ela entrega se for atendida. Separar K de V permite ser encontrado por um critério e entregar outro conteúdo.	modulo02 atencao
Por que dividir os scores de atenção por √d_k?	Var(q·k) = d_k; sem a escala, logits com desvio ~√d_k saturam o softmax (quase one-hot) e o gradiente de W_Q/W_K morre. É uma temperatura fixa que mantém o softmax na região treinável.	modulo02 atencao matematica
O que a máscara causal impede, e como?	Que a posição t veja tokens futuros (t+1...). Matriz triangular superior de −∞ somada aos scores antes do softmax (exp(−∞)=0). Sem ela, prever o próximo token é trapaça e o modelo não aprende.	modulo02 atencao
O que é GQA e qual número do curso o justifica?	Grouped-Query Attention: grupos de query heads compartilham cada KV head. No Qwen2.5-0.5B: 14 query heads, 2 KV heads = KV cache 7× menor (12 vs 84 KB/token) com perda desprezível.	modulo02 gqa
Qual a propriedade matemática que faz o RoPE funcionar?	⟨R_m·q, R_n·k⟩ depende só de (m−n): injeta-se posição ABSOLUTA nos vetores e a atenção enxerga posição RELATIVA. Verificado numericamente no lab (mesmo produto interno para m−n igual).	modulo02 rope
RoPE se aplica a quais vetores — e a qual NUNCA?	A q e k (o critério de busca). NUNCA a v (o conteúdo transportado). Aplicar a v é bug silencioso: treina, só que pior. Erro medido no teste de mutação: 1,24 de desvio.	modulo02 rope armadilha
