Qual teste separa problema de conhecimento de problema de comportamento?	Se colocar a informação no prompt resolve, é conhecimento (RAG). Se nem com a informação no prompt o modelo faz certo, é comportamento (SFT). "Fine-tuning muda o que o modelo É; RAG muda o que ele VÊ."	modulo13 rag decisao
Quais as três propriedades do conhecimento que favorecem RAG sobre fine-tuning?	Volátil (muda sempre → atualizar índice ≪ retreinar), volumoso (cauda longa não cabe em exemplos de SFT), citável (RAG aponta a fonte; o modelo treinado "sabe" sem saber de onde).	modulo13 rag
Qual o trade-off do tamanho de chunk no RAG?	Grandes: contexto completo, mas embedding vira média borrada e a busca perde precisão. Pequenos: busca cirúrgica, trecho órfão. Primeira estratégia: cortar pela ESTRUTURA (títulos/seções) com sobreposição de 10–20%.	modulo13 rag chunking
O que IDF e saturação de TF fazem no BM25?	IDF: termos raros valem muito, onipresentes quase nada (ln((N−df+0,5)/(df+0,5)+1)). Saturação: a 10ª ocorrência do termo vale quase o mesmo que a 3ª (fórmula com k1). Juntos: relevância = termos raros compartilhados, sem spam de repetição.	modulo13 rag bm25
Onde o BM25 vence a busca densa, e vice-versa?	BM25: termos exatos e raros (flags, códigos, nomes — "--mask-prompt", "NF4"). Densa: paráfrases e sinônimos ("impedir o modelo de esquecer" → catastrophic forgetting). As falhas são complementares — a base do híbrido.	modulo13 rag
O que o experimento do curso mostrou sobre busca híbrida (RRF)?	A híbrida (88% hit@1) PERDEU para a densa pura (92%): quando um sistema domina, o RRF mistura os erros do fraco. Híbrido só paga com falhas complementares — verifique com a matriz de concordância ANTES de adotar.	modulo13 rag armadilha
Por que o RRF usa posições em vez de scores?	Scores de sistemas diferentes são incomensuráveis (BM25 dá 0–20; cosseno, 0,7–0,9). O RRF soma 1/(60+rank) — só posições, nenhuma calibração necessária.	modulo13 rag
hit@k e MRR: o que cada um responde?	hit@k: a fonte certa está entre os k primeiros? (k = quantos chunks vão ao modelo). MRR: em que posição o primeiro acerto aparece, em média (média de 1/rank). Avaliam a RECUPERAÇÃO separada da geração — senão não se sabe o que consertar.	modulo13 rag avaliacao
Quanto o contexto recuperado deslocou a probabilidade da resposta (medido)?	+5,72 nats em média = resposta 306× mais provável. E o contexto ERRADO foi frequentemente pior que nenhum: o modelo confia no que recebe. RAG com recuperação ruim é gerador de alucinação com citação.	modulo13 rag
O chunk CERTO pode reduzir a probabilidade da resposta?	Sim — medido em 2 de 8 perguntas. Causas: fraseado do chunk distante da resposta-alvo, diluição de atenção pelo contexto longo, conflito de formato. Hit@1 é necessário, não suficiente: recuperação e geração se avaliam separadas.	modulo13 rag armadilha
Por que o limiar de cosseno falhou como detector de "fora da base" (medido)?	Os intervalos se sobrepuseram (dentro 0,869–0,910; fora 0,778–0,874). O treino contrastivo otimiza ranking, não magnitude absoluta; o espaço é anisotrópico e comprimido. Defesas reais: reranker como detector, calibração, e instrução de grounding no gerador.	modulo13 rag armadilha
O que é lost in the middle e as duas consequências práticas?	Modelos usam melhor o início e o fim do contexto; o meio é sistematicamente pior aproveitado. Consequências: mande POUCOS chunks bons (5, não 20) e ponha o mais relevante nas bordas. "Cabe em 128k" não significa "usa 128k".	modulo13 rag
Bi-encoder vs cross-encoder: a diferença e o pipeline padrão?	Bi-encoder: comprime pergunta e doc SEPARADOS (barato, indexável, cego às interações). Cross-encoder: lê os dois JUNTOS com atenção total (preciso, caro). Pipeline: híbrido/denso recupera top-30 → cross-encoder reordena → top-5 ao modelo.	modulo13 rag reranking
Qual a armadilha de template dos embeddings e5?	Exigem os prefixos "query: " e "passage: " — foram treinados assim; omiti-los degrada SILENCIOSAMENTE. Mesmo padrão do chat template do módulo 1: sempre verifique a convenção de uso do encoder.	modulo13 rag armadilha
O que é a instrução de grounding e por que é a defesa mais barata?	"Responda APENAS com base no contexto; se não estiver nele, diga que não sabe." Custa zero tokens de treino, é a última linha de defesa contra contexto irrelevante — e é a primeira coisa perdida em refatorações de prompt. Trate como código crítico com teste de regressão.	modulo13 rag grounding
Um "banco vetorial" é essencialmente o quê, e quando a busca exata basta?	Uma matriz [n_chunks, dim] + produto de matrizes (o índice do lab: 201×384 = 0,3 MB). Busca exata basta até ~milhões de vetores em latências normais; HNSW/FAISS entram com dezenas de milhões ou milhares de consultas/s. Infra pesada de vector DB é frequentemente prematura.	modulo13 rag infra
Qual o IC95 de uma acurácia de ~65% medida em 100 exemplos? E em 25?	±9pp (55–74%) e ±19pp. Regra: EP = √(p(1−p)/n). Medido: com Δ real de 3pp, o ranking observado INVERTE em 36% das avaliações com n=25 e 31,5% com n=100.	modulo14 avaliacao estatistica
Por que parear comparações multiplica o poder estatístico — e de onde vem o poder?	Da CORRELAÇÃO: modelos parecidos acertam/erram juntos, e o pareamento desconta essa concordância que o teste não pareado paga como ruído. Medido: com corr=0,95, McNemar detecta 3pp em 88% das vezes vs 0,3% do não pareado (n=500) — 300× mais poder.	modulo14 avaliacao estatistica
No teste de McNemar, quais perguntas carregam informação?	Só as DISCORDÂNCIAS (A acerta onde B erra e vice-versa); sob H0, b ~ Binomial(b+c, ½). As perguntas em que ambos acertam ou erram são plateia — o mesmo princípio da vantagem de grupo do GRPO: unanimidade não ensina.	modulo14 avaliacao
O que a auditoria estatística fez com o "densa 92% > BM25 84%" do módulo 13?	Rebaixou: 3 discordâncias vs 1, McNemar p=0,625, bootstrap pareado Δ=+8pp com IC95 [−8, +24] — cruza zero. Conclusão honesta: "venceu nesta amostra; n=25 não distingue". n pequeno constrói e depura; não conclui.	modulo14 modulo13 avaliacao armadilha
Descreva o bootstrap em três passos.	1) Reamostre o conjunto de avaliação COM reposição; 2) recompute a métrica na reamostra; 3) repita milhares de vezes — os percentis 2,5/97,5 são o IC95. Vale para QUALQUER métrica (MRR, win rate); para comparações, reamostre perguntas e compute a DIFERENÇA (pareado).	modulo14 avaliacao estatistica
O que a auditoria do juiz de 0.5B encontrou (medido)?	50% de acurácia em pares com gabarito e 0% de consistência entre ordens — um selecionador de POSIÇÃO puro: escolhe a mesma letra sempre. Protocolo mínimo de juiz: pares com gabarito + duas ordens + taxa de inconsistência + (se houver humanos) kappa.	modulo14 avaliacao juiz armadilha
Quanto "o melhor de k checkpoints" infla o resultado (medido)?	Modelos IDÊNTICOS, n=200: melhor de 20 parece +6,2pp acima da verdade (p95 +9pp); de 100, +8,3pp. Toda escolha olhando o conjunto de avaliação (checkpoint, prompt, seed) compra essa inflação. Defesa: dev set para escolher, teste LACRADO para reportar.	modulo14 avaliacao armadilha
Qual o formato de reporte honesto de um win rate?	"Win rate de X% [IC] sobre os Y% de pares CONSISTENTES entre as duas ordens, com juiz de Z% de acurácia em pares com gabarito, empates = W%." Sem os quatro números, win rate é marketing.	modulo14 avaliacao juiz
O que é ECE e o que a medição no Qwen-0.5B mostrou?	Expected Calibration Error: o desvio médio entre confiança declarada e acurácia real por faixa. Medido: 33% de acurácia com 68% de confiança média = +35pp de superconfiança (uma resposta com 99% de confiança estava errada). Calibração é o que permite roteamento e abstenção por confiança.	modulo14 avaliacao calibracao
Qual a frase-padrão que fecha todo experimento sério?	"Com n=X, a diferença de Ypp tem IC [a, b]; a evidência {sustenta | sugere | não distingue}." Todo número que decide carrega IC; todo número reportado, o tamanho da amostra.	modulo14 avaliacao metodo
Num agente, quem executa a ferramenta — o modelo ou o loop?	O LOOP (seu código). O modelo apenas GERA um pedido estruturado ({"name":..., "arguments":...}); o código lê, valida, executa e devolve o resultado como nova mensagem. O modelo é o cérebro; o loop são as mãos. Toda defesa de segurança vive no loop, não no modelo.	modulo15 agentes
